chart_pos,artist,title,release_year,country,link
63,Brassica,"Lydden Circuit",2011,UK,https://www.youtube.com/embed/kx7atNvmFg8
62,"The Soul Drifters","Funky Soul Brother",1974,US,https://www.youtube.com/embed/KbpFPSga2xU
61,Austra,"The Villain",2011,CA,https://www.youtube.com/embed/Raur8OveqV8
60,Brassica,"Made Up My Mind",2010,UK,https://www.youtube.com/embed/uBlaXEHiIRE
59,"Benoit & Sergio","Let Me Count the Ways (Extended Version)",2011,US,https://www.youtube.com/embed/FN-mNbYdCsI
58,"Technicolour & Komatic","We Were Always One",2012,UK,https://www.youtube.com/embed/1XlDuirXjSg
57,"Nu:Tone feat. Pat Fulgoni",Beliefs,2007,UK,https://www.youtube.com/embed/pM4iLyXfzfc
56,B-Key,Uprising,2003,UK,https://www.youtube.com/embed/wRyiv0Ka-Dk
55,"Tranzident & Peter Dubs","Drift (Daniel Kandi & Mark Andrez Rushed Mix)",2007,HU,https://www.youtube.com/embed/sPd0MroBioM
54,"Björk","Solstice (Current Value Remix)",2012,DE/IS,https://www.youtube.com/embed/LEWM3PTFsPg
53,Squarepusher,"Energy Wizard",2012,UK,https://www.youtube.com/embed/pTN3aJHg6sc
52,"Vatican Shadow","September Cell (The Punishment)",2012,US,https://www.youtube.com/embed/oo3sN3L0nxY
51,Datassette,"Partita for Unattended Computer",2012,UK,https://www.youtube.com/embed/Clfa-GaebLI
50,"Timo Juuti & Hector 87","Cheap Bad Moves",2012,FI,https://www.youtube.com/embed/st49MRa95_4
49,Distal,"Behold The Jungle Bootleg",2012,UK,https://www.youtube.com/embed/RUm1ehWyd4A
48,Ekman,"Tears of a Clown (Video Version)",2012,NL,https://www.youtube.com/embed/TOVmKTogw3o
47,"Ital Tek","Pixel Haze",2012,UK,https://www.youtube.com/embed/aUUSClWPPRU
46,"Kyau & Albert","Falling Anywhere (Sunn Jellie Remix)",2012,DE/UA,https://www.youtube.com/embed/GzlSBs9oozA
45,Kuedo,"Ascension Phase",2011,UK,https://www.youtube.com/embed/8NHJJtYzz7M
44,Plant43,"Fluid Reasoning",2012,UK,https://www.youtube.com/embed/t_6SAxfIZGI
43,"Led Er Est","Kaiyo Maru",2012,US,https://www.youtube.com/embed/Sp6yduf-_OA
42,"Son of Kick","Playing the Villain (Machinedrum Remix)",2011,UK/US,https://www.youtube.com/embed/A40euIhE6K0
41,Footprintz,"Fear of Numbers",2012,CA,https://www.youtube.com/embed/H1MfP5lriVQ
40,"John Maus","Don't Worship the Devil",2007,US,https://www.youtube.com/embed/WCtWGpk8SKk
39,Sunjammer,"I Understand Now",2012,NO,https://www.youtube.com/embed/bA03pNevJ1A
38,Prurient,"Palm Tree Corpse",2011,US,https://www.youtube.com/embed/5geog-nrXig
37,"Mathew Jonson","Never Say Die (Remix)",2010,CA,
36,"Boris Divider",Citydrome,2012,ES,https://www.youtube.com/embed/ZbZTkJ_OhpM
35,"Sailor & I","Tough Love (Aril Brikha Remix)",2012,SE,https://www.youtube.com/embed/zscOJbQXR-8
34,"John Maus",Bennington,2007,US,https://www.youtube.com/embed/ryvHj2z-0BM
33,"College feat. Electric Youth","A Real Hero",2009,CA/FR,
32,"Raiders of the Lost Arp","Lunar Lander",2011,IT,https://www.youtube.com/embed/yN0k4hT9-Aw
31,Grimes,"Be a Body",2012,CA,https://www.youtube.com/embed/Fb_0LzBv894
30,"Die Selektion","Muskelberg (Kaleid Remix)",2011,DE/FR,
29,Squarepusher,"Angel Integer",2012,UK,https://www.youtube.com/embed/-M-KlWSoBz4
28,Clio,"Eyes (Extended Vocal Mix)",1984,IT,https://www.youtube.com/embed/eu4v5e9CJ9A
27,Machinedrum,GBYE,2011,US,https://www.youtube.com/embed/S4nIpb4j2zc
26,"Björk","Thunderbolt (Current Value Remix)",2012,DE/IS,https://www.youtube.com/embed/kE1wWDWdUzs
25,Squarepusher,"Dark Steering",2012,UK,https://www.youtube.com/embed/XvLAKrVbCBM
24,Logistics,"Slow Motion",2008,UK,https://www.youtube.com/embed/dQyRZQAbW0Q
23,B-Key,"Man of Science",2011,UK,https://www.youtube.com/embed/zWulqmwYdSM
22,"Current Value",Faith,2007,DE,https://www.youtube.com/embed/LiXxhA69HTg
21,Salaligan,Samen,1983,SE,https://www.youtube.com/embed/Dsb2tJSfrKo
20,Eprom,Twerkul8,2011,US,https://www.youtube.com/embed/ZOBjwxRcGrQ
19,Kuedo,Vectoral,2011,UK,https://www.youtube.com/embed/Jsz4L-IzQZo
18,"Jessie Ware","Running (Disclosure Remix)",2012,UK,https://www.youtube.com/embed/AOwwihJpAVg
17,"Die Selektion","Deine Augen",2011,DE,https://www.youtube.com/embed/kB8rbI62UeM
16,"Africa HiTech","Out in the Streets",2011,UK,https://www.youtube.com/embed/LdgNDCibl4s
15,Squarepusher,4001,2012,UK,https://www.youtube.com/embed/815FIY452O8
14,"The Shortwave Mystery","Signals from Afar (Vocalize)",1984,US,https://www.youtube.com/embed/Y8c8Gy6O56M
13,"Die Selektion","Du rennst",2011,DE,https://www.youtube.com/embed/_iaHjyVMFjo
12,Kuedo,"Work, Live & Sleep in Collapsing Space (Claude Speed 'Infinity Ultra Rework' feat. Jivraj Singh)",2012,UK,https://www.youtube.com/embed/u7a4_Lx52iE
11,TBA,"The face we choose to miss",2011,GE,
10,"John Maus","Rights for Gays",2007,US,https://www.youtube.com/embed/zLVpZme0kRQ
9,Kuedo,"Salt Lake Cuts",2011,UK,https://www.youtube.com/embed/en-HmMPpze4
8,Trust,Sulk,2012,CA,https://www.youtube.com/embed/8tc1xj7Nblc
7,"Vince Watson","Reach for the Sun",2012,UK,https://www.youtube.com/embed/U8NoMIFEDWo
6,"Die Selektion",Raben,2011,DE,https://www.youtube.com/embed/P90twXwP4gM
5,Machinedrum,"Now U Know Tha Deal 4 Real",2011,US,https://www.youtube.com/embed/bynlB3SJISo
4,"John Maus","Castles in the Grave",2010,US,https://www.youtube.com/embed/t2Cmm_G3kss
3,Blondes,"Water (Bicep Remix)",2012,UK/US,https://www.youtube.com/embed/LcJ6VCZqZt4
2,"John Maus","This is the Beat",2005,US,https://www.youtube.com/embed/FBiMPrT4VQ0
1,Machinedrum,"The Statue",2011,US,https://www.youtube.com/embed/E8zvOmBk1H8
