chart_pos,artist,title,release_year,country,link
18,"Light Asylum","Dark Allies",2010,US,https://www.youtube.com/embed/9E8YQWb7YeY
17,"Underground Solution","Luv Dancin'",1990,US,https://www.youtube.com/embed/xiNsu6BCRu8
16,"Light Asylum","Hour Fortress",2012,US,https://www.youtube.com/embed/_7xdM7e8UAA
15,"Black Marble",Pretender,2012,US,https://www.youtube.com/embed/AhyS1e8eGJ0
14,"3 Channels","I can Understand",2011,US,https://www.youtube.com/embed/Weq4BkNj7t0
13,"Disclosure feat. Sasha Keable",Voices,2013,UK,https://www.youtube.com/embed/GgF4bTCYabU
12,"Ital Tek","Yesterday Tomorrow Today",2012,UK,https://www.youtube.com/embed/tlvmRygxT8Q
11,"Sally Shapiro","If it doesn't Rain",2013,SE,https://www.youtube.com/embed/R54CsVjC5P0
10,"Disclosure feat. AlunaGeorge","White Noise",2013,UK,https://www.youtube.com/embed/bkk2H3Ztrfk
9,I-F,"Superman (Live at the Bruine Planeet)",1995,NL,https://www.youtube.com/embed/dQbwVpaE08Q
8,"DJ Clap","Find Me a Lover",2011,US,
7,Photodementia,Refractivation,2013,UK,https://www.youtube.com/embed/RI9nZApxheM
6,"Sally Shapiro","Architectured Love",2013,SE,https://www.youtube.com/embed/1ABW1mtPRIw
5,Chvrches,"Recover (Curxes' 1996 Remix)",2013,UK,https://www.youtube.com/embed/Xa7evaad-rg
4,"Steve feat. Patricia Edwards","Love Dynasty",2013,UK,
3,"Om Unit","Ulysses (Reso's Different Drum Remix)",2012,UK,https://www.youtube.com/embed/PGwwcWbw_EI
2,"Red 7","I Lost My Shoes on Acid",2013,UK/ZA,https://www.youtube.com/embed/OaIQrUzUwPM
1,Trust,Gloryhole,2012,CA,https://www.youtube.com/embed/zuYbkLZNeKU
