chart_pos,artist,title,release_year,country,link
78,"Void Vision",Sour,2014,US,https://www.youtube.com/embed/mblzPmm-URA
77,"Unicorn Kid","Chrome Lion",2011,UK,https://www.youtube.com/embed/DsqZ27-k4UY
76,"Special Request","Soundboy Killer",2013,UK,https://www.youtube.com/embed/lHXM62tb_MY
75,"Juan Atkins & Moritz von Oswald present Borderland",Zeolites,2016,DE/US,https://www.youtube.com/embed/pmtYiq5r_8w
74,Burial,"Temple Sleeper",2015,UK,https://www.youtube.com/embed/kyanOxQdZu8
73,"Floating Points",Kuiper,2016,UK,https://www.youtube.com/embed/aqoF8vFwEkY
72,Citizen,"So Submissive",2013,UK,https://www.youtube.com/embed/eA2YlCn5FMw
71,"The Hard Way","Pentagram of Coke",2013,NL/UA,https://www.youtube.com/embed/TYJum1KYJHg
70,Konx-Om-Pax,"Rainbow Bounce",2016,UK,https://www.youtube.com/embed/SJVnnJyb2sY
69,"Fatima Al Qadiri","Shanghai Freeway",2014,KW,
68,"Junior Boys","Big Black Coat (Robert Hood Remix)",2016,CA/US,https://www.youtube.com/embed/zL4xSmR5-Ts
67,"Special Request",Undead,2013,UK,https://www.youtube.com/embed/9P4reNoK9LU
66,"William Onyeabor","When the Going is Smooth & Good",1985,NG,https://www.youtube.com/embed/7fnTxm1u_34
65,"µ-Ziq",Smeester,2015,UK,https://www.youtube.com/embed/Ri9oRbYbmas
64,"Terrence Parker","The Back 9",2014,US,https://www.youtube.com/embed/TZvPDi4ONJA
63,"Palms Trax","Sumo Acid Crew",2015,UK,https://www.youtube.com/embed/o7fgUDJ8KHY
62,"Martial Canterel","Baltic Coast",2014,US,https://www.youtube.com/embed/2SCti8pGuIw
61,"Special Request","Reset it",2015,UK,
60,Zomby,"Where Were U in '92",2008,UK,
59,Babymetal,"Gimme Chocolate!!",2014,JP,https://www.youtube.com/embed/ZiYtI8Qezt8
58,Kuedo,"In Your Sleep",2016,UK,https://www.youtube.com/embed/tdTuFrzcwe4
57,"Fatima Al Qadiri",Szechuan,2014,KW,https://www.youtube.com/embed/hW9smfA0Cco
56,Zomby,"We Got the Sound",2008,UK,https://www.youtube.com/embed/ZFbmQtQyXbI
55,Pional,"It's All Over",2014,ES,https://www.youtube.com/embed/KNgB1NA4DAk
54,"Jenny Hval","Kingsize (Kelly Lee Owens Rework)",2016,NO/UK,https://www.youtube.com/embed/Wdcf8aIAMDs
53,"µ-Ziq",Ritm,2015,UK,https://www.youtube.com/embed/DA5WDkGCMSE
52,Zomby,Euphoria,2008,UK,https://www.youtube.com/embed/9eMS6NjgU6Q
51,Pictureplane,Esoterrorist,2015,US,https://www.youtube.com/embed/7ZpZWAjzwwA
50,Zomby,Float,2008,UK,https://www.youtube.com/embed/CxXhtqpFwB8
49,"DJ Q","They Haven't Got a Chance",2012,UK,https://www.youtube.com/embed/tZOcWetnDPY
48,Noisecontrollers,Sludge,2012,NL,https://www.youtube.com/embed/ro0js0iaqBk
47,"Unicorn Kid","Need U",2012,UK,https://www.youtube.com/embed/lQm6UHrAmCw
46,"Heaven Shall Burn","Implore the Darken Sky",2002,DE,https://www.youtube.com/embed/LCaJZvOcpuk
45,"Shadow Child & Doorly","Climbin' (Piano Weapon)",2014,UK,https://www.youtube.com/embed/AF61g2dUr5Q
44,"Dead Can Dance","Dawn of the Iconoclast",1987,AU/UK,https://www.youtube.com/embed/48TyDnakXZE
43,Sophie,"Just Like We Never Said Goodbye",2015,UK,https://www.youtube.com/embed/6Z3N79ktprw
42,"William Onyeabor","Good Name",1983,NG,https://www.youtube.com/embed/27nCc2eiERM
41,"µ-Ziq",Monj2,2015,UK,https://www.youtube.com/embed/B8HDeUQpMkg
40,Kayper,"4 Fingers",2015,UK,https://www.youtube.com/embed/2MZArq39Rjc
39,"The Panacea feat. Goldberg Variations & Untergang","Ryse & Shiiine",2014,DE/UA,https://www.youtube.com/embed/0-0mW8MKXlQ
38,"µ-Ziq",Forger,2015,UK,https://www.youtube.com/embed/ZMcGlilKir4
37,"Deniece Williams",Free,1976,US,https://www.youtube.com/embed/imTDWIZwEDU
36,Slava,"Girl Like Me",2013,US,https://www.youtube.com/embed/ViLGrfp0NG0
35,"Jagwar Ma","Uncertainty (Mssingno Remix)",2014,AU/UK,https://www.youtube.com/embed/2an-J4VM2hA
34,"Heaven Shall Burn","Whatever it May Take",2002,DE,https://www.youtube.com/embed/fyRWp1J1xRA
33,"Void Vision","Hidden Hand",2014,US,https://www.youtube.com/embed/dBeNbHLvdC4
32,"East Wall","Ice of Fire",1991,IT,https://www.youtube.com/embed/bA_KIsqLM1Y
31,"Juliane Werding","Großstadtlichter (Kinky Lovers Edit)",1980,DE,https://www.youtube.com/embed/KTMoPYD7C94
30,easyFun,Laplander,2015,UK,https://www.youtube.com/embed/DWGXZI6LC5Q
29,Bicep,"Closing Sequence",2015,UK,https://www.youtube.com/embed/dbjUKNC7dEM
28,"Special Request",Simulation,2015,UK,
27,"DJ S.K.T feat. Rae","Take Me Away",2015,UK,https://www.youtube.com/embed/naEzZHwLYXQ
26,"The Squire of Gothos","Walkin Manz Klub",2013,UK,https://www.youtube.com/embed/dwZ8tKwjDxM
25,Equinox,"Killa Sound (B-Key Remix)",2011,UK,https://www.youtube.com/embed/NplL1Cg0xiE
24,"P Money","War Dub (Reply to Ghetts)",2010,UK,https://www.youtube.com/embed/EQePn0gcGgs
23,"Hannah Diamond","Every Night",2015,UK,https://www.youtube.com/embed/EPFvbc4onks
22,"Danny L. Harle",Forever,2015,UK,https://www.youtube.com/embed/8WWosQ2DHw0
21,"Johan Agebjörn, Le Prix & Lake Heartbeat","Watch The World Go By",2011,SE,https://www.youtube.com/embed/DXFClodyrP4
20,"Terrence Parker feat. Merachka","Open Up Your Spirit",2014,US,https://www.youtube.com/embed/KzfW67cPpxQ
19,"Paul Woolford",MDMA,2015,UK,https://www.youtube.com/embed/XtfaEj2zXm8
18,"Martial Canterel","Bulvár",2014,US,https://www.youtube.com/embed/SfaeCmQXUYI
17,"Dead Can Dance","Summoning of The Muse",1987,AU/UK,https://www.youtube.com/embed/5J8mvTWceO8
16,Billon,"Slave to the Vibe",2015,UK,https://www.youtube.com/embed/p6_3FxyTxLs
15,"The Panacea","Found a Lover",2004,DE,https://www.youtube.com/embed/OnmbG-kzyHo
14,"Donato Dozzy",Gol,2006,IT,https://www.youtube.com/embed/JZzZ1jdvIyM
13,Zomby,"SURF I",2015,UK,
12,"Special Request",Amnesia,2015,UK,https://www.youtube.com/embed/AFQGVCY5Lqc
11,Noisecontrollers,"Break the Show",2012,NL,https://www.youtube.com/embed/d91xBj6ESfE
10,"Shadow Child & Ben Pearce feat. Laurel","Nothing Ever Hurts",2015,UK,https://www.youtube.com/embed/_xJ6zii59pk
9,"High Contrast & Clare Maguire","Who's Loving You (Part 2)",2014,UK,https://www.youtube.com/embed/Wg9LJjlNMEQ
8,"Après","Chicago (Club Edit)",2015,UK,https://www.youtube.com/embed/c3r9n6MBoIM
7,"DJ Q feat. MC Bonez","You Wot (Club Mix)",2007,UK,https://www.youtube.com/embed/fUGZq02cYIY
6,"George FitzGerald feat. Boxed In","Full Circle",2015,UK,https://www.youtube.com/embed/hQuCiLi5g50
5,"Royal-T feat. P Money","Cruel to be Kind",2012,UK,https://www.youtube.com/embed/6rO1ufhscyw
4,"Martial Canterel",Teano,2014,US,https://www.youtube.com/embed/iON0szZvZH0
3,"Susanne Sundfør",Slowly,2015,NO,https://www.youtube.com/embed/JvD3EALtKXE
2,EQD,005B,2011,DE,https://www.youtube.com/embed/4tYwDSQdOU0
1,"Dead Can Dance","Persephone (The Gathering of Flowers)",1987,AU/UK,https://www.youtube.com/embed/9tx3frMa9_k
